69.,KRANJSKA GORA,17 ,17 ,0 ,0 ,0 ,17 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17 ,385.987 
70.,KRIŽEVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,146.591 
71.,KRŠKO,14.902 ,14.902 ,14.902 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,41.475 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,41.475 ,41.475 ,0 ,0 ,0 ,0 ,-26.573 ,-2.558 
72.,KUNGOTA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.498 
73.,KUZMA,5.225 ,5.225 ,5.225 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.225 ,44.855 
74.,LAŠKO,43.186 ,34.581 ,0 ,0 ,0 ,34.581 ,0 ,0 ,8.605 ,0 ,0 ,8.605 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,43.186 ,396.553 
75.,LENART,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-264.434 
76.,LENDAVA,11.834 ,11.834 ,163 ,0 ,11.672 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.834 ,98.978 
77.,LITIJA,31.372 ,31.372 ,764 ,0 ,30.608 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,41.729 ,41.729 ,0 ,0 ,0 ,41.729 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-10.357 ,-34.907 
78.,LJUBLJANA (M),969.179 ,969.179 ,920.681 ,0 ,41.729 ,6.768 ,0 ,0 ,0 ,0 ,0 ,0 ,592.973 ,125.188 ,0 ,0 ,0 ,125.188 ,0 ,0 ,467.785 ,0 ,0 ,467.785 ,0 ,0 ,376.206 ,-3.886.334 
79.,LJUBNO,111.417 ,111.417 ,0 ,0 ,0 ,111.417 ,0 ,0 ,0 ,0 ,0 ,0 ,111.417 ,111.417 ,0 ,0 ,0 ,0 ,111.417 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,208.913 
80.,LJUTOMER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-184.143 
81.,LOGATEC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.259 ,6.259 ,0 ,0 ,0 ,0 ,0 ,6.259 ,0 ,0 ,0 ,0 ,0 ,0 ,-6.259 ,139.134 
82.,LOŠKA DOLINA,16.028 ,16.028 ,0 ,0 ,16.028 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.565 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.565 ,0 ,0 ,0 ,1.565 ,0 ,14.463 ,-154.377 
83.,LOŠKI POTOK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,26.131 
